,state,Year,Uninsured: %
232,AL,2007,17.6
233,AL,2006,20.6
234,AL,2014,11.5
235,AL,2013,12.3
236,AL,2012,13.2
237,AL,2011,14.0
238,AL,2010,14.3
239,AL,2009,14.2
240,AL,2008,15.1
241,AL,2007,15.1
242,AL,2006,15.8
243,AL,2014,17.0
244,AL,2013,18.7
245,AL,2012,19.6
246,AL,2011,19.3
247,AL,2010,19.5
248,AL,2009,18.9
249,AL,2008,20.3
250,AL,2007,15.1
251,AL,2006,16.0
252,AL,2014,14.6
253,AL,2013,16.1
254,AL,2012,16.7
255,AL,2011,16.9
256,AL,2010,18.3
257,AL,2009,17.2
258,AL,2008,16.9
259,AL,2007,13.7
260,AL,2006,15.9
261,AL,2014,14.6
262,AL,2013,15.5
263,AL,2012,15.4
264,AL,2011,15.9
265,AL,2010,16.9
266,AL,2009,16.7
267,AL,2008,16.3
268,AL,2007,13.3
269,AL,2006,15.2
270,AL,2014,19.9
271,AL,2013,20.4
272,AL,2012,20.1
273,AL,2011,21.0
274,AL,2010,23.2
275,AL,2009,19.9
276,AL,2008,19.3
277,AL,2007,17.3
278,AL,2006,19.2
279,AL,2014,17.2
280,AL,2013,19.4
281,AL,2012,19.0
282,AL,2011,18.4
283,AL,2010,19.7
284,AL,2009,20.0
285,AL,2008,17.6
286,AL,2007,14.6
287,AL,2006,18.0
288,AL,2014,15.1
289,AL,2013,17.1
290,AL,2012,16.0
291,AL,2011,17.7
292,AL,2010,18.1
293,AL,2009,17.2
294,AL,2008,15.4
295,AL,2007,12.6
296,AL,2006,14.9
297,AL,2014,14.0
298,AL,2013,16.2
299,AL,2012,16.1
300,AL,2011,19.1
301,AL,2010,16.6
302,AL,2009,17.9
303,AL,2008,16.8
304,AL,2007,13.8
305,AL,2006,14.7
306,AL,2014,15.1
307,AL,2013,17.1
308,AL,2012,16.7
309,AL,2011,17.4
310,AL,2010,18.3
311,AL,2009,17.7
312,AL,2008,16.4
313,AL,2007,17.2
314,AL,2006,19.0
315,AL,2014,13.5
316,AL,2013,15.9
317,AL,2012,16.4
318,AL,2011,16.2
319,AL,2010,16.7
320,AL,2009,16.8
321,AL,2008,15.1
322,AL,2007,13.8
323,AL,2006,14.9
324,AL,2014,15.7
325,AL,2013,17.9
326,AL,2012,17.1
327,AL,2011,18.4
328,AL,2010,18.6
329,AL,2009,16.7
330,AL,2008,16.2
331,AL,2007,14.0
332,AL,2006,15.4
333,AL,2014,12.6
334,AL,2013,14.6
335,AL,2012,14.5
336,AL,2011,15.1
337,AL,2010,16.1
338,AL,2009,14.3
339,AL,2008,14.1
340,AL,2007,12.0
341,AL,2006,13.3
342,AL,2014,14.0
343,AL,2013,16.0
344,AL,2012,16.9
345,AL,2011,16.8
346,AL,2010,17.3
347,AL,2009,17.6
348,AL,2008,16.7
349,AL,2007,15.5
350,AL,2006,17.7
351,AL,2014,13.7
352,AL,2013,15.0
353,AL,2012,16.3
354,AL,2011,15.2
355,AL,2010,15.2
356,AL,2009,16.1
357,AL,2008,15.7
358,AL,2007,15.5
359,AL,2006,18.1
360,AL,2014,16.1
361,AL,2013,18.1
362,AL,2012,18.2
363,AL,2011,17.7
364,AL,2010,19.0
365,AL,2009,18.1
366,AL,2008,16.9
367,AL,2007,14.5
368,AL,2006,16.1
369,AL,2014,13.4
370,AL,2013,16.1
371,AL,2012,15.3
372,AL,2011,16.8
373,AL,2010,15.8
374,AL,2009,15.6
375,AL,2008,12.8
376,AL,2007,21.0
377,AL,2006,23.0
378,AL,2014,14.4
379,AL,2013,16.0
380,AL,2012,16.0
381,AL,2011,16.4
382,AL,2010,16.7
383,AL,2009,15.6
384,AL,2008,15.4
385,AL,2007,16.3
386,AL,2006,16.0
387,AL,2014,14.4
388,AL,2013,15.5
389,AL,2012,15.5
390,AL,2011,17.4
391,AL,2010,17.0
392,AL,2009,17.2
393,AL,2008,16.0
394,AL,2007,17.9
395,AL,2006,14.9
396,AL,2014,13.0
397,AL,2013,15.9
398,AL,2012,15.3
399,AL,2011,15.7
400,AL,2010,16.4
401,AL,2009,16.8
402,AL,2008,14.4
403,AL,2007,13.7
404,AL,2006,14.1
405,AL,2014,12.5
406,AL,2013,13.6
407,AL,2012,13.7
408,AL,2011,15.0
409,AL,2010,14.1
410,AL,2009,12.8
411,AL,2008,13.2
412,AL,2007,14.7
413,AL,2006,16.3
414,AL,2014,13.3
415,AL,2013,15.6
416,AL,2012,15.2
417,AL,2011,17.6
418,AL,2010,16.8
419,AL,2009,17.9
420,AL,2008,14.9
421,AL,2007,13.1
422,AL,2006,14.5
423,AL,2014,15.4
424,AL,2013,16.2
425,AL,2012,15.8
426,AL,2011,17.3
427,AL,2010,17.3
428,AL,2009,17.9
429,AL,2008,16.3
430,AL,2007,14.9
431,AL,2006,16.7
432,AL,2014,18.8
433,AL,2013,21.8
434,AL,2012,18.6
435,AL,2011,21.5
436,AL,2010,21.5
437,AL,2009,18.7
438,AL,2008,19.1
439,AL,2007,17.1
440,AL,2006,18.7
441,AL,2014,14.9
442,AL,2013,16.5
443,AL,2012,17.7
444,AL,2011,18.6
445,AL,2010,18.6
446,AL,2009,17.3
447,AL,2008,16.9
448,AL,2007,15.2
449,AL,2006,15.9
450,AL,2014,17.7
451,AL,2013,18.4
452,AL,2012,16.5
453,AL,2011,18.4
454,AL,2010,18.4
455,AL,2009,17.1
456,AL,2008,16.3
457,AL,2007,14.2
458,AL,2006,13.7
459,AL,2014,13.9
460,AL,2013,15.3
461,AL,2012,15.4
462,AL,2011,16.5
463,AL,2010,15.8
464,AL,2009,13.9
465,AL,2008,13.2
466,AL,2007,12.5
467,AL,2006,13.1
468,AL,2014,16.1
469,AL,2013,17.3
470,AL,2012,16.9
471,AL,2011,18.5
472,AL,2010,18.9
473,AL,2009,15.5
474,AL,2008,16.1
475,AL,2007,14.5
476,AL,2006,16.4
477,AL,2014,15.3
478,AL,2013,15.9
479,AL,2012,16.2
480,AL,2011,19.6
481,AL,2010,17.0
482,AL,2009,17.0
483,AL,2008,16.5
484,AL,2007,14.9
485,AL,2006,13.0
486,AL,2014,14.3
487,AL,2013,17.0
488,AL,2012,16.5
489,AL,2011,17.6
490,AL,2010,17.4
491,AL,2009,16.5
492,AL,2008,16.4
493,AL,2007,15.8
494,AL,2006,18.8
495,AL,2014,15.2
496,AL,2013,17.5
497,AL,2012,18.0
498,AL,2011,20.3
499,AL,2010,17.6
500,AL,2009,17.1
501,AL,2008,16.3
502,AL,2007,15.6
503,AL,2006,17.7
504,AL,2014,16.8
505,AL,2013,18.8
506,AL,2012,18.2
507,AL,2011,18.7
508,AL,2010,18.2
509,AL,2009,19.1
510,AL,2008,18.0
511,AL,2007,14.6
512,AL,2006,15.5
513,AL,2014,14.8
514,AL,2013,17.1
515,AL,2012,16.6
516,AL,2011,17.7
517,AL,2010,17.4
518,AL,2009,18.1
519,AL,2008,17.4
520,AL,2007,14.9
521,AL,2006,14.4
522,AL,2014,13.4
523,AL,2013,14.4
524,AL,2012,15.3
525,AL,2011,15.9
526,AL,2010,15.2
527,AL,2009,17.0
528,AL,2008,16.1
529,AL,2007,16.3
530,AL,2006,15.6
531,AL,2014,10.6
532,AL,2013,12.1
533,AL,2012,11.3
534,AL,2011,12.1
535,AL,2010,12.3
536,AL,2009,10.3
537,AL,2008,10.3
538,AL,2007,12.4
539,AL,2006,13.2
540,AL,2014,16.7
541,AL,2013,17.3
542,AL,2012,17.2
543,AL,2011,17.9
544,AL,2010,18.8
545,AL,2009,20.1
546,AL,2008,15.8
547,AL,2007,14.8
548,AL,2006,16.3
549,AL,2014,13.5
550,AL,2013,14.6
551,AL,2012,14.7
552,AL,2011,15.7
553,AL,2010,16.2
554,AL,2009,15.7
555,AL,2008,14.6
556,AL,2007,11.0
557,AL,2006,12.0
558,AL,2014,14.3
559,AL,2013,16.1
560,AL,2012,16.0
561,AL,2011,15.7
562,AL,2010,17.3
563,AL,2009,17.0
564,AL,2008,14.9
565,AL,2007,13.1
566,AL,2006,13.4
567,AL,2014,12.2
568,AL,2013,15.2
569,AL,2012,15.2
570,AL,2011,14.9
571,AL,2010,17.5
572,AL,2009,13.9
573,AL,2008,13.7
574,AL,2007,15.7
575,AL,2006,16.4
576,AL,2014,15.2
577,AL,2013,16.0
578,AL,2012,15.8
579,AL,2011,16.8
580,AL,2010,16.7
581,AL,2009,17.6
582,AL,2008,16.9
583,AL,2007,12.6
584,AL,2006,14.0
585,AL,2014,15.1
586,AL,2013,16.1
587,AL,2012,17.7
